OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
3616,1kmE4780N4044,4780000,4044000,3615,18.0600314,59.26653972
3617,1kmE4780N4045,4780000,4045000,3616,18.0621116,59.27546794
3618,1kmE4780N4046,4780000,4046000,3617,18.06419304,59.28439616
3619,1kmE4780N4047,4780000,4047000,3618,18.06627574,59.29332437
3620,1kmE4780N4048,4780000,4048000,3619,18.06835968,59.30225257
3621,1kmE4780N4049,4780000,4049000,3620,18.07044488,59.31118077
3622,1kmE4780N4050,4780000,4050000,3621,18.07253132,59.32010896
3623,1kmE4780N4051,4780000,4051000,3622,18.07461902,59.32903714
3624,1kmE4780N4052,4780000,4052000,3623,18.07670798,59.33796532
3625,1kmE4780N4053,4780000,4053000,3624,18.07879819,59.34689348
3626,1kmE4780N4054,4780000,4054000,3625,18.08088966,59.35582165
3627,1kmE4780N4055,4780000,4055000,3626,18.08298238,59.364749800000006
3628,1kmE4780N4056,4780000,4056000,3627,18.08507636,59.37367795
3629,1kmE4780N4057,4780000,4057000,3628,18.0871716,59.38260609
3630,1kmE4780N4058,4780000,4058000,3629,18.08926811,59.39153423
3631,1kmE4780N4059,4780000,4059000,3630,18.09136587,59.40046236
3632,1kmE4780N4060,4780000,4060000,3631,18.093464899999997,59.40939048
3633,1kmE4780N4061,4780000,4061000,3632,18.0955652,59.4183186
3634,1kmE4780N4062,4780000,4062000,3633,18.09766675,59.42724671
3635,1kmE4780N4063,4780000,4063000,3634,18.09976958,59.43617481
3636,1kmE4780N4064,4780000,4064000,3635,18.10187367,59.44510291
3637,1kmE4780N4065,4780000,4065000,3636,18.10397903,59.45403100000001
3638,1kmE4780N4066,4780000,4066000,3637,18.10608566,59.46295908
3639,1kmE4780N4067,4780000,4067000,3638,18.10819356,59.47188716
3640,1kmE4780N4068,4780000,4068000,3639,18.11030274,59.48081523
3641,1kmE4780N4069,4780000,4069000,3640,18.11241318,59.48974329
3642,1kmE4780N4070,4780000,4070000,3641,18.11452491,59.49867135
3643,1kmE4780N4071,4780000,4071000,3642,18.116637899999997,59.5075994
3644,1kmE4780N4072,4780000,4072000,3643,18.11875218,59.51652744
3645,1kmE4780N4073,4780000,4073000,3644,18.12086773,59.52545548
3646,1kmE4780N4074,4780000,4074000,3645,18.12298456,59.53438351
3647,1kmE4780N4075,4780000,4075000,3646,18.12510267,59.54331154
3648,1kmE4780N4076,4780000,4076000,3647,18.12722206,59.55223956
3649,1kmE4780N4077,4780000,4077000,3648,18.12934273,59.56116757
3650,1kmE4780N4078,4780000,4078000,3649,18.13146469,59.57009558
3651,1kmE4780N4079,4780000,4079000,3650,18.13358793,59.57902358
3652,1kmE4780N4080,4780000,4080000,3651,18.13571246,59.58795157
3653,1kmE4780N4081,4780000,4081000,3652,18.13783827,59.59687956
3654,1kmE4780N4082,4780000,4082000,3653,18.13996538,59.60580754
3655,1kmE4780N4083,4780000,4083000,3654,18.14209377,59.61473552
3656,1kmE4780N4084,4780000,4084000,3655,18.14422345,59.62366349
3657,1kmE4780N4085,4780000,4085000,3656,18.14635442,59.63259145
3658,1kmE4780N4086,4780000,4086000,3657,18.14848669,59.64151941
3659,1kmE4780N4087,4780000,4087000,3658,18.15062025,59.65044736
3660,1kmE4780N4088,4780000,4088000,3659,18.1527551,59.65937531
3661,1kmE4780N4089,4780000,4089000,3660,18.15489125,59.66830325
3662,1kmE4780N4090,4780000,4090000,3661,18.157028699999998,59.67723118
3663,1kmE4780N4091,4780000,4091000,3662,18.15916744,59.68615911
