OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
9641,1kmE4837N4054,4837000,4054000,9640,19.07314856,59.29408655
9642,1kmE4837N4070,4837000,4070000,9641,19.11080652,59.43664756
9643,1kmE4837N4072,4837000,4072000,9642,19.11553926,59.45446737
9644,1kmE4837N4073,4837000,4073000,9643,19.11790777,59.46337725
9645,1kmE4837N4074,4837000,4074000,9644,19.12027771,59.47228711
9646,1kmE4837N4075,4837000,4075000,9645,19.12264907,59.48119695
9647,1kmE4837N4085,4837000,4085000,9646,19.14644148,59.57029444
9648,1kmE4837N4086,4837000,4086000,9647,19.14882863,59.57920409
9649,1kmE4837N4087,4837000,4087000,9648,19.15121722,59.58811372
9650,1kmE4837N4088,4837000,4088000,9649,19.15360725,59.59702334
9651,1kmE4837N4089,4837000,4089000,9650,19.15599873,59.60593294
9652,1kmE4837N4090,4837000,4090000,9651,19.15839166,59.61484253
9653,1kmE4837N4091,4837000,4091000,9652,19.16078603,59.62375209
9654,1kmE4837N4092,4837000,4092000,9653,19.16318185,59.63266164
9655,1kmE4837N4095,4837000,4095000,9654,19.17037803,59.65939018
9656,1kmE4837N4096,4837000,4096000,9655,19.17277966,59.66829966
9657,1kmE4837N4097,4837000,4097000,9656,19.17518275,59.67720913
9658,1kmE4837N4098,4837000,4098000,9657,19.17758729,59.68611857
9659,1kmE4837N4100,4837000,4100000,9658,19.18240076,59.70393741
9660,1kmE4837N4101,4837000,4101000,9659,19.18480968,59.7128468
9661,1kmE4837N4102,4837000,4102000,9660,19.18722006,59.72175618
9662,1kmE4837N4103,4837000,4103000,9661,19.18963191,59.73066554
9663,1kmE4837N4104,4837000,4104000,9662,19.19204522,59.73957488
9664,1kmE4837N4105,4837000,4105000,9663,19.19446,59.74848421
9665,1kmE4837N4106,4837000,4106000,9664,19.19687625,59.75739351
9666,1kmE4837N4107,4837000,4107000,9665,19.19929396,59.76630279999999
9667,1kmE4837N4108,4837000,4108000,9666,19.20171315,59.77521208
9668,1kmE4837N4109,4837000,4109000,9667,19.2041338,59.78412133
9669,1kmE4837N4110,4837000,4110000,9668,19.20655593,59.79303057
9670,1kmE4838N4054,4838000,4054000,9669,19.09052645,59.29294017
9671,1kmE4838N4062,4838000,4062000,9670,19.10934522,59.36421856
9672,1kmE4838N4072,4838000,4072000,9671,19.1329961,59.45331496
9673,1kmE4838N4073,4838000,4073000,9672,19.13536902,59.4622245
9674,1kmE4838N4074,4838000,4074000,9673,19.13774336,59.47113403
9675,1kmE4838N4075,4838000,4075000,9674,19.14011914,59.48004354
9676,1kmE4838N4076,4838000,4076000,9675,19.14249635,59.48895302
9677,1kmE4838N4077,4838000,4077000,9676,19.14487499,59.4978625
9678,1kmE4838N4078,4838000,4078000,9677,19.14725507,59.50677195
9679,1kmE4838N4079,4838000,4079000,9678,19.14963658,59.51568139
9680,1kmE4838N4085,4838000,4085000,9679,19.16395584,59.56913764
9681,1kmE4838N4086,4838000,4086000,9680,19.16634743,59.57804695
9682,1kmE4838N4087,4838000,4087000,9681,19.16874047,59.58695625
9683,1kmE4838N4088,4838000,4088000,9682,19.17113495,59.59586553
9684,1kmE4838N4089,4838000,4089000,9683,19.17353088,59.60477479
9685,1kmE4838N4090,4838000,4090000,9684,19.17592826,59.61368403
9686,1kmE4838N4091,4838000,4091000,9685,19.17832709,59.62259326
9687,1kmE4838N4092,4838000,4092000,9686,19.18072737,59.63150246
9688,1kmE4838N4093,4838000,4093000,9687,19.18312911,59.64041166
9689,1kmE4838N4094,4838000,4094000,9688,19.185532300000002,59.64932083
9690,1kmE4838N4095,4838000,4095000,9689,19.18793694,59.65822999
9691,1kmE4838N4096,4838000,4096000,9690,19.19034304,59.66713912
9692,1kmE4838N4097,4838000,4097000,9691,19.192750600000004,59.67604824
9693,1kmE4838N4100,4838000,4100000,9692,19.19998204,59.7027755
9694,1kmE4838N4101,4838000,4101000,9693,19.20239545,59.71168455
9695,1kmE4838N4102,4838000,4102000,9694,19.20481032,59.72059359
9696,1kmE4838N4103,4838000,4103000,9695,19.20722665,59.729502600000004
9697,1kmE4838N4104,4838000,4104000,9696,19.20964445,59.738411600000006
9698,1kmE4838N4105,4838000,4105000,9697,19.21206373,59.74732059
9699,1kmE4838N4106,4838000,4106000,9698,19.21448447,59.75622955
9700,1kmE4838N4107,4838000,4107000,9699,19.21690668,59.7651385
9701,1kmE4838N4108,4838000,4108000,9700,19.21933036,59.77404743
9702,1kmE4838N4109,4838000,4109000,9701,19.22175552,59.78295634
9703,1kmE4838N4110,4838000,4110000,9702,19.22418216,59.79186523
9704,1kmE4838N4111,4838000,4111000,9703,19.22661027,59.80077411
9705,1kmE4839N4057,4839000,4057000,9704,19.11496282,59.31852013
9706,1kmE4839N4058,4839000,4058000,9705,19.11731883,59.32742961
9707,1kmE4839N4061,4839000,4061000,9706,19.12439534,59.35415792
9708,1kmE4839N4062,4839000,4062000,9707,19.12675701,59.36306733
9709,1kmE4839N4063,4839000,4063000,9708,19.12912009,59.37197671
9710,1kmE4839N4064,4839000,4064000,9709,19.13148459,59.38088608
9711,1kmE4839N4071,4839000,4071000,9710,19.14807594,59.44325114
9712,1kmE4839N4072,4839000,4072000,9711,19.15045184,59.45216036
9713,1kmE4839N4073,4839000,4073000,9712,19.15282916,59.46106957
9714,1kmE4839N4075,4839000,4075000,9713,19.15758811,59.47888793
9715,1kmE4839N4076,4839000,4076000,9714,19.15996974,59.48779708
9716,1kmE4839N4077,4839000,4077000,9715,19.1623528,59.49670621
9717,1kmE4839N4078,4839000,4078000,9716,19.164737300000002,59.50561533
9718,1kmE4839N4079,4839000,4079000,9717,19.16712323,59.51452443
9719,1kmE4839N4080,4839000,4080000,9718,19.169510600000002,59.52343351
9720,1kmE4839N4085,4839000,4085000,9719,19.1814691,59.56797864
9721,1kmE4839N4086,4839000,4086000,9720,19.18386513,59.57688762
9722,1kmE4839N4087,4839000,4087000,9721,19.18626261,59.58579657
9723,1kmE4839N4088,4839000,4088000,9722,19.18866154,59.59470551
9724,1kmE4839N4089,4839000,4089000,9723,19.19106192,59.60361443
9725,1kmE4839N4090,4839000,4090000,9724,19.19346375,59.61252333
9726,1kmE4839N4091,4839000,4091000,9725,19.19586704,59.62143222
9727,1kmE4839N4092,4839000,4092000,9726,19.19827178,59.63034109
9728,1kmE4839N4093,4839000,4093000,9727,19.20067797,59.63924994
9729,1kmE4839N4096,4839000,4096000,9728,19.20790531,59.66597638
9730,1kmE4839N4097,4839000,4097000,9729,19.21031734,59.67488516
9731,1kmE4839N4099,4839000,4099000,9730,19.21514578,59.69270266
9732,1kmE4839N4100,4839000,4100000,9731,19.2175622,59.70161139
9733,1kmE4839N4101,4839000,4101000,9732,19.21998009,59.7105201
9734,1kmE4839N4102,4839000,4102000,9733,19.22239944,59.71942879
9735,1kmE4839N4103,4839000,4103000,9734,19.22482027,59.72833746
9736,1kmE4839N4104,4839000,4104000,9735,19.22724256,59.73724612
9737,1kmE4839N4106,4839000,4106000,9736,19.23209156,59.75506337
9738,1kmE4839N4107,4839000,4107000,9737,19.23451826,59.76397198
9739,1kmE4839N4108,4839000,4108000,9738,19.23694645,59.77288056
9740,1kmE4839N4109,4839000,4109000,9739,19.23937611,59.78178913
9741,1kmE4839N4110,4839000,4110000,9740,19.24180725,59.79069768
9742,1kmE4839N4111,4839000,4111000,9741,19.24423986,59.79960621
9743,1kmE4840N4055,4840000,4055000,9742,19.12763513,59.29955005
9744,1kmE4840N4056,4840000,4056000,9743,19.12999268,59.30845923
9745,1kmE4840N4060,4840000,4060000,9744,19.13943703,59.34409575
9746,1kmE4840N4061,4840000,4061000,9745,19.14180166,59.35300484
9747,1kmE4840N4062,4840000,4062000,9746,19.1441677,59.36191391
9748,1kmE4840N4063,4840000,4063000,9747,19.14653517,59.37082295
9749,1kmE4840N4064,4840000,4064000,9748,19.14890406,59.37973199
9750,1kmE4840N4065,4840000,4065000,9749,19.15127437,59.388641
9751,1kmE4840N4074,4840000,4074000,9750,19.17267138,59.4688213
9752,1kmE4840N4075,4840000,4075000,9751,19.17505599,59.47773013
9753,1kmE4840N4076,4840000,4076000,9752,19.17744203,59.48663894
9754,1kmE4840N4077,4840000,4077000,9753,19.17982951,59.49554774
9755,1kmE4840N4078,4840000,4078000,9754,19.18221842,59.50445651
9756,1kmE4840N4079,4840000,4079000,9755,19.18460878,59.51336527
9757,1kmE4840N4080,4840000,4080000,9756,19.18700058,59.52227401
9758,1kmE4840N4088,4840000,4088000,9757,19.20618702,59.59354329999999
9759,1kmE4840N4090,4840000,4090000,9758,19.21099813,59.61136044
9760,1kmE4840N4091,4840000,4091000,9759,19.21340587,59.62026898
9761,1kmE4840N4097,4840000,4097000,9760,19.22788295,59.67371987
9762,1kmE4840N4099,4840000,4099000,9761,19.23272034,59.69153668
9763,1kmE4840N4100,4840000,4100000,9762,19.23514124,59.70044507
9764,1kmE4840N4101,4840000,4101000,9763,19.23756361,59.70935343
9765,1kmE4840N4102,4840000,4102000,9764,19.23998744,59.71826178
9766,1kmE4840N4103,4840000,4103000,9765,19.24241275,59.72717011
9767,1kmE4840N4104,4840000,4104000,9766,19.24483953,59.73607842
9768,1kmE4840N4106,4840000,4106000,9767,19.24969751,59.75389499
9769,1kmE4840N4107,4840000,4107000,9768,19.25212872,59.76280325
9770,1kmE4840N4108,4840000,4108000,9769,19.254561399999996,59.77171149
9771,1kmE4840N4109,4840000,4109000,9770,19.25699556,59.78061971
9772,1kmE4840N4110,4840000,4110000,9771,19.2594312,59.78952791
9773,1kmE4840N4111,4840000,4111000,9772,19.26186833,59.7984361
9774,1kmE4840N4112,4840000,4112000,9773,19.26430693,59.80734427
9775,1kmE4841N4055,4841000,4055000,9774,19.14501414,59.2983968
9776,1kmE4841N4056,4841000,4056000,9775,19.14737606,59.30730564
9777,1kmE4841N4057,4841000,4057000,9776,19.14973939,59.31621446
9778,1kmE4841N4058,4841000,4058000,9777,19.15210414,59.32512327
9779,1kmE4841N4061,4841000,4061000,9778,19.15920689,59.35184957
9780,1kmE4841N4062,4841000,4062000,9779,19.16157731,59.3607583
9781,1kmE4841N4063,4841000,4063000,9780,19.16394916,59.36966701
9782,1kmE4841N4064,4841000,4064000,9781,19.16632243,59.37857571
9783,1kmE4841N4065,4841000,4065000,9782,19.16869713,59.38748438
9784,1kmE4841N4066,4841000,4066000,9783,19.17107325,59.39639304
9785,1kmE4841N4069,4841000,4069000,9784,19.17821019,59.4231189
9786,1kmE4841N4070,4841000,4070000,9785,19.18059204,59.43202749
9787,1kmE4841N4071,4841000,4071000,9786,19.18297531,59.44093605
9788,1kmE4841N4075,4841000,4075000,9787,19.19252276,59.47657013
9789,1kmE4841N4076,4841000,4076000,9788,19.19491321,59.48547861
9790,1kmE4841N4077,4841000,4077000,9789,19.19730511,59.49438707
9791,1kmE4841N4078,4841000,4078000,9790,19.19969844,59.50329549999999
9792,1kmE4841N4079,4841000,4079000,9791,19.20209322,59.51220392
9793,1kmE4841N4086,4841000,4086000,9792,19.21889719,59.57456235
9794,1kmE4841N4087,4841000,4087000,9793,19.22130355,59.58347063
9795,1kmE4841N4089,4841000,4089000,9794,19.22612065,59.60128712
9796,1kmE4841N4090,4841000,4090000,9795,19.22853139,59.61019534
9797,1kmE4841N4091,4841000,4091000,9796,19.23094358,59.61910354
9798,1kmE4841N4092,4841000,4092000,9797,19.23335723,59.62801172
9799,1kmE4841N4098,4841000,4098000,9798,19.24786987,59.68146044
9800,1kmE4841N4099,4841000,4099000,9799,19.25029377,59.690368500000005
9801,1kmE4841N4100,4841000,4100000,9800,19.25271915,59.69927654
9802,1kmE4841N4101,4841000,4101000,9801,19.25514599,59.70818456
9803,1kmE4841N4102,4841000,4102000,9802,19.25757431,59.71709256
9804,1kmE4841N4103,4841000,4103000,9803,19.260004100000003,59.72600055
9805,1kmE4841N4104,4841000,4104000,9804,19.26243537,59.73490851
9806,1kmE4841N4105,4841000,4105000,9805,19.26486811,59.74381646
9807,1kmE4841N4106,4841000,4106000,9806,19.26730233,59.75272439
9808,1kmE4841N4107,4841000,4107000,9807,19.26973803,59.761632299999995
9809,1kmE4841N4108,4841000,4108000,9808,19.27217521,59.7705402
9810,1kmE4841N4109,4841000,4109000,9809,19.27461387,59.77944807
9811,1kmE4841N4110,4841000,4110000,9810,19.27705402,59.78835593
9812,1kmE4841N4111,4841000,4111000,9811,19.27949565,59.79726377
9813,1kmE4842N4055,4842000,4055000,9812,19.16239206,59.29724137
9814,1kmE4842N4056,4842000,4056000,9813,19.16475834,59.30614987
9815,1kmE4842N4064,4842000,4064000,9814,19.18373972,59.37741725
9816,1kmE4842N4065,4842000,4065000,9815,19.1861188,59.38632559
9817,1kmE4842N4066,4842000,4066000,9816,19.18849931,59.39523391
9818,1kmE4842N4067,4842000,4067000,9817,19.19088125,59.40414221
9819,1kmE4842N4068,4842000,4068000,9818,19.19326463,59.41305049
9820,1kmE4842N4069,4842000,4069000,9819,19.19564943,59.42195876
9821,1kmE4842N4070,4842000,4070000,9820,19.19803567,59.430867000000006
9822,1kmE4842N4071,4842000,4071000,9821,19.20042334,59.43977523
9823,1kmE4842N4072,4842000,4072000,9822,19.20281246,59.44868344
9824,1kmE4842N4073,4842000,4073000,9823,19.205203,59.45759163
9825,1kmE4842N4075,4842000,4075000,9824,19.20998842,59.47540795
9826,1kmE4842N4077,4842000,4077000,9825,19.2147796,59.49322420000001
9827,1kmE4842N4078,4842000,4078000,9826,19.21717736,59.5021323
9828,1kmE4842N4081,4842000,4081000,9827,19.2243793,59.52885648
9829,1kmE4842N4082,4842000,4082000,9828,19.22678285,59.53776451
9830,1kmE4842N4083,4842000,4083000,9829,19.22918784,59.54667251
9831,1kmE4842N4084,4842000,4084000,9830,19.23159429,59.555580500000005
9832,1kmE4842N4087,4842000,4087000,9831,19.23882235,59.58230435
9833,1kmE4842N4088,4842000,4088000,9832,19.24123462,59.59121227
9834,1kmE4842N4089,4842000,4089000,9833,19.24364834,59.60012016
9835,1kmE4842N4090,4842000,4090000,9834,19.24606353,59.60902804
9836,1kmE4842N4091,4842000,4091000,9835,19.24848017,59.61793589999999
9837,1kmE4842N4092,4842000,4092000,9836,19.25089828,59.62684374
9838,1kmE4842N4093,4842000,4093000,9837,19.25331785,59.63575156
9839,1kmE4842N4094,4842000,4094000,9838,19.25573888,59.64465936
9840,1kmE4842N4097,4842000,4097000,9839,19.26301079,59.67138267
9841,1kmE4842N4098,4842000,4098000,9840,19.265437699999996,59.6802904
9842,1kmE4842N4099,4842000,4099000,9841,19.26786607,59.68919811
9843,1kmE4842N4100,4842000,4100000,9842,19.27029592,59.69810579999999
9844,1kmE4842N4101,4842000,4101000,9843,19.27272725,59.70701348
9845,1kmE4842N4102,4842000,4102000,9844,19.27516005,59.71592114
9846,1kmE4842N4103,4842000,4103000,9845,19.27759432,59.72482878
9847,1kmE4842N4104,4842000,4104000,9846,19.28003007,59.73373639999999
9848,1kmE4842N4105,4842000,4105000,9847,19.2824673,59.74264399999999
9849,1kmE4842N4106,4842000,4106000,9848,19.28490602,59.75155158
9850,1kmE4842N4107,4842000,4107000,9849,19.28734621,59.76045915
9851,1kmE4842N4108,4842000,4108000,9850,19.28978789,59.7693667
9852,1kmE4842N4109,4842000,4109000,9851,19.29223105,59.77827423
9853,1kmE4842N4112,4842000,4112000,9852,19.29956945,59.80499671
9854,1kmE4843N4056,4843000,4056000,9853,19.18213954,59.30499192
9855,1kmE4843N4057,4843000,4057000,9854,19.1845116,59.31390007
9856,1kmE4843N4064,4843000,4064000,9855,19.201155899999996,59.3762566
9857,1kmE4843N4065,4843000,4065000,9856,19.20353937,59.3851646
9858,1kmE4843N4066,4843000,4066000,9857,19.20592427,59.39407259
