OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
1929,1kmE4764N4079,4764000,4079000,1928,17.85269753,59.595192700000005
1930,1kmE4764N4080,4764000,4080000,1929,17.85475023,59.60412545
1931,1kmE4764N4081,4764000,4081000,1930,17.85680416,59.61305819
1932,1kmE4764N4082,4764000,4082000,1931,17.85885934,59.62199094
1933,1kmE4764N4083,4764000,4083000,1932,17.86091577,59.63092367
1934,1kmE4764N4084,4764000,4084000,1933,17.86297345,59.63985641
1935,1kmE4764N4085,4764000,4085000,1934,17.86503237,59.64878914
1936,1kmE4764N4086,4764000,4086000,1935,17.86709255,59.65772187
1937,1kmE4764N4087,4764000,4087000,1936,17.86915397,59.666654599999994
1938,1kmE4764N4088,4764000,4088000,1937,17.87121665,59.67558732
1939,1kmE4764N4089,4764000,4089000,1938,17.87328059,59.68452004
1940,1kmE4764N4090,4764000,4090000,1939,17.87534577,59.69345276
1941,1kmE4764N4091,4764000,4091000,1940,17.87741222,59.70238547
1942,1kmE4765N3993,4765000,3993000,1941,17.69788954,58.82599211
1943,1kmE4765N3994,4765000,3994000,1942,17.69984348,58.83492495
1944,1kmE4765N3995,4765000,3995000,1943,17.70179858,58.84385778
1945,1kmE4765N3996,4765000,3996000,1944,17.70375483,58.85279061
1946,1kmE4765N3997,4765000,3997000,1945,17.70571224,58.86172343
1947,1kmE4765N3998,4765000,3998000,1946,17.70767081,58.87065625
1948,1kmE4765N3999,4765000,3999000,1947,17.70963054,58.87958906
1949,1kmE4765N4000,4765000,4000000,1948,17.71159143,58.88852186
1950,1kmE4765N4001,4765000,4001000,1949,17.71355349,58.89745466
1951,1kmE4765N4002,4765000,4002000,1950,17.71551671,58.90638746
1952,1kmE4765N4003,4765000,4003000,1951,17.71748109,58.91532025
1953,1kmE4765N4004,4765000,4004000,1952,17.71944664,58.92425303
1954,1kmE4765N4008,4765000,4008000,1953,17.72732051,58.95998411
1955,1kmE4765N4009,4765000,4009000,1954,17.7292919,58.96891687
1956,1kmE4765N4014,4765000,4014000,1955,17.73916646,59.01358059
1957,1kmE4765N4015,4765000,4015000,1956,17.74114489,59.02251332
1958,1kmE4765N4016,4765000,4016000,1957,17.74312451,59.03144604
1959,1kmE4765N4017,4765000,4017000,1958,17.745105300000002,59.04037876
1960,1kmE4765N4018,4765000,4018000,1959,17.74708727,59.04931147
1961,1kmE4765N4019,4765000,4019000,1960,17.74907043,59.05824418
1962,1kmE4765N4020,4765000,4020000,1961,17.75105476,59.06717688
1963,1kmE4765N4021,4765000,4021000,1962,17.75304028,59.07610958
1964,1kmE4765N4022,4765000,4022000,1963,17.75502699,59.08504228
1965,1kmE4765N4024,4765000,4024000,1964,17.75900395,59.10290765
1966,1kmE4765N4025,4765000,4025000,1965,17.76099421,59.11184033
1967,1kmE4765N4026,4765000,4026000,1966,17.76298566,59.12077301
1968,1kmE4765N4027,4765000,4027000,1967,17.7649783,59.12970568
1969,1kmE4765N4028,4765000,4028000,1968,17.76697213,59.13863834
1970,1kmE4765N4029,4765000,4029000,1969,17.76896715,59.14757101
1971,1kmE4765N4030,4765000,4030000,1970,17.77096336,59.15650366
1972,1kmE4765N4031,4765000,4031000,1971,17.77296076,59.16543631
1973,1kmE4765N4032,4765000,4032000,1972,17.77495936,59.17436896
1974,1kmE4765N4033,4765000,4033000,1973,17.77695916,59.18330161
1975,1kmE4765N4034,4765000,4034000,1974,17.77896015,59.19223424
1976,1kmE4765N4035,4765000,4035000,1975,17.78096234,59.20116688
1977,1kmE4765N4036,4765000,4036000,1976,17.78296573,59.21009951
1978,1kmE4765N4037,4765000,4037000,1977,17.78497032,59.21903213
1979,1kmE4765N4038,4765000,4038000,1978,17.78697611,59.22796475
1980,1kmE4765N4039,4765000,4039000,1979,17.7889831,59.23689737
1981,1kmE4765N4040,4765000,4040000,1980,17.79099129,59.24582998
1982,1kmE4765N4041,4765000,4041000,1981,17.79300069,59.25476259
1983,1kmE4765N4042,4765000,4042000,1982,17.79501129,59.26369519
1984,1kmE4765N4043,4765000,4043000,1983,17.797023100000004,59.27262779
1985,1kmE4765N4044,4765000,4044000,1984,17.79903611,59.28156039
1986,1kmE4765N4045,4765000,4045000,1985,17.80105033,59.29049298
1987,1kmE4765N4046,4765000,4046000,1986,17.80306577,59.29942557
1988,1kmE4765N4047,4765000,4047000,1987,17.80508241,59.30835815
1989,1kmE4765N4048,4765000,4048000,1988,17.80710026,59.31729073
1990,1kmE4765N4049,4765000,4049000,1989,17.80911933,59.3262233
1991,1kmE4765N4050,4765000,4050000,1990,17.81113961,59.33515587
1992,1kmE4765N4051,4765000,4051000,1991,17.813161100000002,59.34408844
1993,1kmE4765N4052,4765000,4052000,1992,17.81518381,59.353021
1994,1kmE4765N4053,4765000,4053000,1993,17.81720774,59.36195355
1995,1kmE4765N4054,4765000,4054000,1994,17.81923288,59.37088611
1996,1kmE4765N4055,4765000,4055000,1995,17.82125925,59.37981866
1997,1kmE4765N4056,4765000,4056000,1996,17.82328683,59.3887512
1998,1kmE4765N4057,4765000,4057000,1997,17.82531563,59.39768374
1999,1kmE4765N4058,4765000,4058000,1998,17.82734566,59.40661628
2000,1kmE4765N4059,4765000,4059000,1999,17.82937691,59.41554882
2001,1kmE4765N4060,4765000,4060000,2000,17.83140938,59.42448134
2002,1kmE4765N4061,4765000,4061000,2001,17.83344308,59.43341387
2003,1kmE4765N4062,4765000,4062000,2002,17.83547801,59.44234639
