OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
9159,1kmE4827N4067,4827000,4067000,9158,18.92931028,59.42130465
9160,1kmE4827N4068,4827000,4068000,9159,18.93162765,59.43021794
9161,1kmE4827N4069,4827000,4069000,9160,18.93394641,59.43913121
9162,1kmE4827N4070,4827000,4070000,9161,18.93626657,59.44804447
9163,1kmE4827N4071,4827000,4071000,9162,18.93858813,59.45695771
9164,1kmE4827N4072,4827000,4072000,9163,18.94091108,59.46587093
9165,1kmE4827N4073,4827000,4073000,9164,18.94323544,59.47478414
9166,1kmE4827N4075,4827000,4075000,9165,18.94788835,59.49261052
9167,1kmE4827N4076,4827000,4076000,9166,18.95021691,59.50152368
9168,1kmE4827N4077,4827000,4077000,9167,18.95254687,59.51043683
9169,1kmE4827N4078,4827000,4078000,9168,18.95487824,59.51934997
9170,1kmE4827N4079,4827000,4079000,9169,18.95721102,59.52826308
9171,1kmE4827N4081,4827000,4081000,9170,18.961880800000003,59.54608927
9172,1kmE4827N4082,4827000,4082000,9171,18.9642178,59.55500234
9173,1kmE4827N4083,4827000,4083000,9172,18.96655622,59.5639154
9174,1kmE4827N4084,4827000,4084000,9173,18.96889605,59.57282844
9175,1kmE4827N4085,4827000,4085000,9174,18.97123729,59.58174147
9176,1kmE4827N4086,4827000,4086000,9175,18.97357995,59.59065448
9177,1kmE4827N4087,4827000,4087000,9176,18.97592402,59.59956747
9178,1kmE4827N4088,4827000,4088000,9177,18.97826952,59.60848045
9179,1kmE4827N4089,4827000,4089000,9178,18.98061643,59.61739342
9180,1kmE4827N4090,4827000,4090000,9179,18.98296477,59.62630637
9181,1kmE4827N4091,4827000,4091000,9180,18.98531452,59.635219299999996
9182,1kmE4827N4092,4827000,4092000,9181,18.9876657,59.64413222
9183,1kmE4827N4095,4827000,4095000,9182,18.99472779,59.67087089
9184,1kmE4827N4096,4827000,4096000,9183,18.99708467,59.67978375
9185,1kmE4827N4097,4827000,4097000,9184,18.99944299,59.68869659
9186,1kmE4827N4098,4827000,4098000,9185,19.00180273,59.69760942
9187,1kmE4827N4099,4827000,4099000,9186,19.00416391,59.70652223
9188,1kmE4827N4100,4827000,4100000,9187,19.00652652,59.71543503
9189,1kmE4827N4101,4827000,4101000,9188,19.00889056,59.72434781
9190,1kmE4827N4102,4827000,4102000,9189,19.01125604,59.73326058
9191,1kmE4827N4103,4827000,4103000,9190,19.01362296,59.74217333
9192,1kmE4827N4104,4827000,4104000,9191,19.01599131,59.75108607
9193,1kmE4827N4105,4827000,4105000,9192,19.01836111,59.75999879
9194,1kmE4827N4106,4827000,4106000,9193,19.02073234,59.7689115
9195,1kmE4827N4107,4827000,4107000,9194,19.02310502,59.77782419
9196,1kmE4827N4108,4827000,4108000,9195,19.02547914,59.78673687
9197,1kmE4827N4110,4827000,4110000,9196,19.03023172,59.80456218
9198,1kmE4827N4111,4827000,4111000,9197,19.03261018,59.81347481
9199,1kmE4827N4112,4827000,4112000,9198,19.03499009,59.82238742
9200,1kmE4827N4113,4827000,4113000,9199,19.03737145,59.83130003
9201,1kmE4827N4114,4827000,4114000,9200,19.03975426,59.84021261
9202,1kmE4827N4115,4827000,4115000,9201,19.04213852,59.84912518
9203,1kmE4827N4116,4827000,4116000,9202,19.04452424,59.85803774
9204,1kmE4827N4117,4827000,4117000,9203,19.04691141,59.86695028
9205,1kmE4827N4118,4827000,4118000,9204,19.04930004,59.87586281
9206,1kmE4827N4119,4827000,4119000,9205,19.05169012,59.88477532
9207,1kmE4827N4120,4827000,4120000,9206,19.05408167,59.89368782
